song_id,song_name,song_lyric,senti_tag
32399836,Respect,"Put your hands in the air
(Put your hands in the air)
Just like you don’t care
(Just like you don’t care)

Ayo SUGA 요즘 날 떠다니는 단어
“Respect” 근데 요샌 뜻이 좀 헷갈려
그걸 한대 누굴 자꾸 뭐만 하면
나도 잘은 몰라 brotha 낸들 알어
분명히 사랑보다 상위
상위 어쩜 그 중 최상위
에 존재하고 있는 개념이
존경이란 거 아냐 huh?
“Re-spect” 말 그대로 보고 자꾸 보는 거
자꾸 보다보면은 단점이 보여
But 그럼에도 자꾸 보고 싶단 건
필요하지 그 누구를 향한 완벽한 신념
해서 난 도무지 쉽게 말 못 해
아득하거든 그 무게와 두께
언젠가 당당히 말할 수 있게 되기를
진심을 다해서 내게도 네게도

부디 존경을 쉽게 말하지 마 yeah
아직 나도 잘 모르겠으니까 yeah
나도 가끔 내가 무서우니까
약한 내가 간파당하면 어쩌지

(Respect) 쉽게들 말하네
(Respect) 뭔지 모르는데
(Respect) 다시 들여다보길
(Respect) One time
(Respect) Two times
(Respect) 쉽겐 말 안 할래
(Respect) 아직 잘 몰라도
(Respect) 언젠가 말할게
(Respect) One time
(Respect) Oh yeah

Respect이 뭔데
몰라서 묻는 거야 임마
Respect이 뭐길래
다들 respect을 말하는지
솔직히 이해가 안 되네
누구를 존경한다는 게
그렇게 쉬운 거였니
아직도 이해가 안 되네
솔까 존경은 필요 없지
존중조차도 없는데
뒤에선 호박씨 까는 거
너 빼곤 다 아는데 글쎄
나는 솔직히 너를 respect
너도 나를 respect 할 거라는 생각은 1도 없으니 스킵해
Respect 나는 너를 respect
웃으면서 욕하는 저 친구에게 박수

(Respect Respect)
너의 삶에 모든 영광과 번영이 깃들길
(Respect Respect)
너의 앞길엔 영원한 축복이 함께하길
(Respect Respect)
돈 명예 전진 전진
(Respect Respect)
그래 널 존경해 yeah

(Respect) 쉽게들 말하네
(Respect) 뭔지 모르는데
(Respect) 다시 들여다보길
(Respect) One time
(Respect) Two times
(Respect) 쉽겐 말 안 할래
(Respect) 아직 잘 몰라도
(Respect) 언젠가 말할게
(Respect) One time
(Respect) Oh yeah",화나요
31052006,Drink Slow Henny,"Underground studio
쿠바나 더블 불 붙이고
오늘 밤은 가자 로데오
Mm okay
Underground studio
쿠바나 더블 불 붙이고
오늘 밤은 가자 로데오
Mm okay
Drink slow henny
Drink slow henny
Drink slow henny
You gotta fuck with me heavy
Drink slow henny
Drink slow henny
Drink slow henny
You gotta fuck with me heavy
엄마 여기서 내가 살아보니까
내 생각 같지가 않더라구
생각 보다 나를 이해 못하는
애들이 많아 좀 놀랍더라구
Yea 내가 좀 더 맞춰줘야 되나
헷갈리더라구
Yea fuck 난 그냥 갈 길
가야 될 거 같더라구
Lil peepin
돈을 뿌리고 난 tippin
Fuck all the opp
겁낼 거 없어 어차피
다 죽을 거야
Hennessy 한 번에 세잔
초록색 지폐도 세장
예술가 인척 다 매장
너네 보며 나는 해장해
Underground studio
쿠바나 더블 불 붙이고
오늘 밤은 가자 로데오
Mm okay
Underground studio
쿠바나 더블 불 붙이고
오늘 밤은 가자 로데오
Mm okay
Drink slow henny
Drink slow henny
Drink slow henny
You gotta fuck with me heavy
Drink slow henny
Drink slow henny
Drink slow henny
You gotta fuck with me heavy
내 실력이 늘고 있다니
너네 참 웃기다
난 원래 이랬어
네가 몰랐단 걸 모를까
난 한국에서 제일 과소평가된 래퍼야
Mm okay 알 사람은 알 거야
You gotta fuck with me heavy
Boy henny Drink slowly
내 여잔 매일 moaning
네 여자에게 굿 모닝
마셔 진토닉
빨라진 걸음
놀면서 벌지 또 돈을
Mm okay
Drink slow henny
Drink slow henny
Drink slow henny
You gotta fuck with me heavy
Drink slow henny
Drink slow henny
Drink slow henny
You gotta fuck with me heavy",화나요
4196651,Badman,"어둠 속에서 들리는 절규 
공포에 질린 세상을 
뒤집어버릴거야 다 
미쳐버린 세상 
바꿔놓을거야 난 
돈과 협박에 눈 감는 자들 GET OUT 
뉴스를 봐도 전부 공공의 적이고 
싸이코패스들이 미쳐 
날뛰는 판이고 
이건 범죄와의 전쟁 
똑같이 갚아 줄게 
이에는 이 눈에는 눈 이 말을 기억해 
용서란 없어 우린 절대 
I Gotta Feeling 
참을 수가 없어 Give It Up 
I Gotta Feeling 
니가 눈을 감는 날 
너는 위험해 
잘못 건드렸어 Get Away 
Becuz I'm cuz I'm Dangerous 
I'm a Badman 
어둠 속에 너를 가둬줄게 
AH AH AH AH 
겁에 질린 모습을 봐 
I'm a Badman 
니들을 다 쓸어버릴거야 
어떤 변명 따위는 내게 하지마 
In the end
Badman 야 야 Badman 야 야 
yeh guyz 감히 누가 우릴 말려 
이 도시의 공기는 너무나 숨 막혀 
처음부터 잘못된
너희 이리와 간곡해
더러운 싹들을 다 잘라버릴 때까지 
안 멈춰 난 독해
똑같이 눈물 흘려봐 you got that
I Gotta Feeling
다 불 태워버려 Burn It Up
I Gotta Feeling
니가 울부짖는 날
너는 위험해
갈 때까지 갔어 Get Away
Becuz I'm cuz I'm Dangerous
I'm a Badman
어둠 속에 너를 가둬줄게
AH AH AH AH
겁에 질린 모습을 봐
I'm a Badman
니들을 다 쓸어버릴거야
어떤 변명 따위는 내게 하지마
In the end
Badman 야 야 Badman 야 야
왜 자꾸 건드려
자 이리 엎드려
다 맘에 안 들어
널 보면 Lose Control
Badman
왜 자꾸 건드려
자 이리 엎드려
다 맘에 안 들어
널 보면 Lose Control
Badman
우릴 만나면 제발 저리 도망 가줘
절대로 우린 니들을 가만히 못 놔둬
I'm a Badman
어둠 속에 너를 가둬줄게
AH AH AH AH
겁에 질린 모습을 봐
I'm a Badman
니들을 다 쓸어버릴거야
어떤 변명 따위는 내게 하지마
In the end",화나요
31448485,위로 해줄래,"이렇게 달이 아름다운 밤이 오면
감정이 올라 So, lonely
며칠간 묵었던 내 역경
북받쳐 올라 Oh, fuggy
무작정 네게 전활 걸어
술 한잔해줄래요, Baby
네가 필요해, 나 네가 필요해 Now
 
눈이 반쯤 감기도록 
잔이 오르락내리락 
하소연을 해 내 고민을 나눠 줘 
Baby you don't know me
힘든 만큼 많이 취해 
네가 너무 예뻐 보여 
이 밤의 끝엔 우리 등에 날개를 달고선
We’ll fly 

Do you wanna go with me?
나의 잠을 재워줘
I just wanna stay with you
내 등을 토닥여줘
내 팔을 베고 누워
네 머리카락을 넘겨
조심스럽게 입 맞춰
힘들 때마다 
 
위로 해줄래, 네가
위로 해줄래, 네가
위로 해줄래, 아님
내가 위로 할까 
 
위로 해줄래, 네가
위로 해줄래, 네가
위로 해줄래, 아님
내가 위로 할까
 
너나 나나 뭐라 따로 할 말 없잖아
감정보다 앞서는 뭔가가 있잖아
야, 아닌 척하는 건 불필요한 걸 
넌 알고 있어 너의 한숨이 깊은 만큼 깊게 
땅이 꺼질 수도 있네 
토닥이던 등에 기스내
Hold up, baby let me breathe
 
눈이 반쯤 감기도록
잔이 오르락내리락
하소연을 해 내 고민을 나눠 줘 
Baby you don't know me
힘든 만큼 많이 취해,
네가 너무 예뻐 보여
이 밤의 끝엔 우리 등에 날개를 달고선
We’ll fly 

Do you wanna go with me?
나의 잠을 재워줘
I just wanna stay with you
내 등을 토닥여줘
내 팔을 베고 누워
네 머리카락을 넘겨
조심스럽게 입 맞춰
힘들 때마다 

위로 해줄래, 네가
위로 해줄래, 네가
위로 해줄래, 아님
내가 위로 할까
 
위로 해줄래, 네가
위로 해줄래, 네가
위로 해줄래, 아님
내가 위로 할까

위 아래 위 아래 위, 위 아래
네 안에 네 안에 네, 네 안에
미안해, 미안해, 미, 미안해
내가 위로 할게",화나요
30773556,Hate Me,"I know you hate me
I know you hate me
I know you hate me
I know you hate me
눈을 감어
난 취해 매일이
잔을 따러
Call me up baby
Call me up baby
I know you hate me
눈을 감어
난 취해 매일이
잔을 따러
Call me up baby
Call me up baby
나를 싫어한단 것을 난 알아
더는 볼 수 없단 것도 난 알아
So I’ll get high and drunk
I’ll get high and drunk
나를 싫어한단 것을 난 알아
나는 이미 지나간 것을 알아
So I’ll get high and drunk
Everyday I drink
I think about you
Everyday I smoke
I think about you
Everyday I drink 
Everyday I drink 
Everyday I drink
I think about you
Everyday I smoke
I think about you
Everyday I drink 
Everyday I drink 
I know you hate me
눈을 감어
난 취해 매일이
잔을 따러
Call me up baby
Call me up baby
I know you hate me
눈을 감어
난 취해 매일이
잔을 따러
Call me up baby
Call me up baby
Call me up baby
I know you hate me",화나요
3857212,NO MERCY,"Yeah sounds good
We fly here B A P leggo
Boom clap boom boom clap
Boom clap boom boom clap
Boom clap boom boom clap
Yeah let it go something like
마 느그들 그건 아이다 아이가
음악이 장난이가 고마 우린 아이다
니 그카니 내 이카지
안그카면 내 이카나
고마하고 됐다마
느그껀 저리 치아뿌라
아따 갸들 짜세가 진짜로 아니여
워메 행님들 이 꼴좀 보소
겁나 아니여
나쁜자슥들 씹어주는게
사내 아입니까
므째이처럼 하는 랩
바로 이 맛 아입니까
틀에 갇힌 패러다임 부셔줄게
we so fly
바보같이 따라하진 않겠어
앵무새 같은 너와 나를 비교하지마
마 콱 궁딜 쌔리삐까
let me work out
가짜들을 깨 삐라
we are world wide
No no no no mercy
Yeah we are the B A P
Baby wussup 우리가 왔어
이제는 너그럽게 봐주지 않겠어
No no no no mercy
Yeah we are the B A P
이제 알겠어 자비란 없어
우리를 느낄 준비 됐음
put ya hands up
더 크게 소리 질러봐
get ya hands up
Boom clap boom boom clap
Boom clap boom boom clap
Boom clap boom boom clap
Yeah let it go something like
아는 사람만 알아 다 바라봐
We are the main
우릴 따라와 잘 알아
음악은 신나는 게임
차원이 다른 스타일
we makin' classic
제대로 느끼게 해줄게
이젠 너희들이 무서워할 말
We'll be back
음악이 울려 퍼진다
함성이 크게 터진다
마 콱 궁딜 쌔리삐까
let me work out
가짜들을 깨 삐라
we are world wide
No no no no mercy
Yeah we are the B A P
Baby wussup 우리가 왔어
이제는 너그럽게 봐주지 않겠어
No no no no mercy
Yeah we are the B A P
이제 알겠어 자비란 없어
우리를 느낄 준비 됐음
put ya hands up
더 크게 소리 질러봐
get ya hands up
No no no no mercy
Yeah we are the B A P
Baby wussup 우리가 왔어
이제는 너그럽게 봐주지 않겠어
No no no no mercy
Yeah we are the B A P
이제 알겠어 자비란 없어
우리를 느낄 준비 됐음
put ya hands up
더 크게 소리 질러봐
get ya hands up",화나요
4009751,Special Girl (Feat. Bumkey),"아무도 눈치 못 채게끔 
너를 훔쳐 보는 게  
내 버릇이 되었고 
가끔 너와 눈이  
마주칠 때면 
아무렇지 않은  
연길 하는 배우가 되었어 
Action 대뜸 너에게 가서 
말을 건내는 상상도  
여러 번 해봐 
근데 왜 난 늘  
너가 내 앞에만  
오면 얼어 버리는 걸까    
I don't know why girl 
오 내 헤어스타일도 
다른 남자들보다 괜찮고 
어제 새로 산  
셔츠 색상도 
푸른 하늘과 완벽한  
데칼코마니 
오늘은 내 자존심을 꺾고 
너에게 고백하고 
싶지만 쉽지 않지  
난 그저 멍하니 
다른 곳을 바라봐  
Beautiful Girl  
내 곁에서 
웃고 있는 니가 너무 좋아 
눈이 부신 걸  
아름다운 널  
훔칠 수 있게 너를 원해 
Coz you are my 
Special Special Special 
Special Special girl 
Special Special Special 
Special Special girl 
너를 볼 수 있는 찬스  
월화수목금 
내가 원하는 거는  
주말이라는 보너스 
나를 만나러 오는 너를  
볼 수만 있다면  
내 모든걸 다 줄게  
그 대가가 뭐든 
그러기 위해선  
너에게 어필 
할 수 있는 나만의  
매력이 필요해 
왜냐면 너의 곁엔  
늘 남자들이 줄을 서있고 
I gotta K O him 
Baby 내게 기대 편하게 
움직이지 않을게  
만약 너가 내 품 안에 
안겨 준다면  
I will give you everything 
오직 너만을 위해  
시간을 비울꺼야 매일 
이라고 고백하고 파 
허나 현실은  
내 마음과 왜 다를까 
You don't even know my name  
오늘도 난 너의 
옆을 그냥 지나쳐 조용하게 
Beautiful Girl  
내 곁에서 
웃고 있는 니가 너무 좋아 
눈이 부신 걸  
아름다운 널  
훔칠 수 있게 너를 원해 
Coz you are my 
Special Special Special 
Special Special girl 
Special Special Special 
Special Special girl 
봄과 여름 가을과 겨울  
할 것 없이 넌  
너무나 아름다워  
널 처음 본 뒤로는  
눈을 감고 있어도  
계속 너의 실루엣이  
아른거려 
Yeah So sweet  
So sexy hey  
아무것도 손에 안 잡혀  
너 때문에 
난 All day All night long  
Yeah So sweet  
So sexy hey  
아무것도 손에 안 잡혀  
너 때문에 
난 All day All night long  
Beautiful Girl  
내 곁에서 
웃고 있는 니가 너무 좋아 
눈이 부신 걸  
아름다운 널  
훔칠 수 있게 너를 원해 
Coz you are my 
Special Special Special 
Special Special girl 
Special Special Special 
Special Special girl",화나요
30773554,Downtown Baby,"너는 나의 다운타운 베이비야
너의 눈은 밤하늘에 별이야
매일마다 꾸고 싶은 꿈이야
Baby without you
I can’t do this anymore
너는 나의 다운타운 베이비야
너의 눈은 밤하늘에 별이야
매일마다 꾸고 싶은 꿈이야
Baby without you
I can’t do this anymore
628 너 집 번호
네 집 앞이니까 나와 Let’s Roll
시간 아까우니 잡아 나의 두 손
I don’t wanna let go
핑크머리색에 피어싱은 세 개
너는 좋아했지 나의 팔베개
우린 서로 아파하는 짓도 나빠
하나밖에 없는 Downtown Baby
너는 나의 다운타운 베이비야
너의 눈은 밤하늘에 별이야
매일마다 꾸고 싶은 꿈이야
Baby without you
I can’t do this anymore
너는 나의 다운타운 베이비야
너의 눈은 밤하늘에 별이야
매일마다 꾸고 싶은 꿈이야
Baby without you
I can’t do this anymore
영화 보고
Let’s drink all night long
담배 한 대 피며
Talk all night long
힘든 일이 있을 땐 내게 와 일로
너의 얇은 팔로 감싸 나를 사이로
지금 아프더라도 It’s alright
시간은 다 지나가 It’s alright
항상 그랬지 넌 손발이 차가워
그래서 내게 말했지 빨리 안아줘
I’ll make you Rich 조금만
기다려 네가 없는 날에는 Raining
I’ll do anything 조금만
기다려 맑았던 하늘도
다시 보니 Gray
술도 한잔 못 했던 네가 날 만나
와인을 사와
술도 한잔 못 했던 네가 날 만나
마음이 아파
너는 나의 다운타운 베이비야
너의 눈은 밤하늘에 별이야
매일마다 꾸고 싶은 꿈이야
Baby without you
I can’t do this anymore
너는 나의 다운타운 베이비야
너의 눈은 밤하늘에 별이야
매일마다 꾸고 싶은 꿈이야
Baby without you
I can’t do this anymore
It’s okay baby
항상 같은 자리에서 있을게
It’s okay baby
널 위해 내 핸드폰을 켜 놓을게
It’s okay baby
항상 같은 자리에서 있을게
It’s okay baby
널 위해 내 핸드폰을 켜 놓을게
너는 나의 다운타운 베이비야
너의 눈은 밤하늘에 별이야
매일마다 꾸고 싶은 꿈이야
Baby without you
I can’t do this anymore
너는 나의 다운타운 베이비야
너의 눈은 밤하늘에 별이야
매일마다 꾸고 싶은 꿈이야
Baby without you
I can’t do this anymore",화나요
31764887,NBA,"Oh god
나에 대해 물어봐
나의 미랜
파란 하늘
물어봐
내 가치를
Oh god
나에 대해 알아놔
나의 미랜
파란 하늘
알아봐
내 가치를
Woo
My outfit clean
마치 like NBA
Uh uh
Woo
My outfit clean
마치 like NBA
Uh uh
Young king
어린애들 우상 난 young king
스타일 없는 애들은 talkin'
어디서든 뭘 하든 먹힘 Uh
너네와 말을 또 섞길
시간없어 난 money chasin'
I'm up with the crew always
workin'
여기로 돈 챙겨와 often
Street ballin'
마치 NBA
하지 shots callin'
빨간색의 머리
코트를 처리
매일 3 pointer
내 주위로 트렌드가
모이네
나의 앞길이
보이기에
Oh god
나에 대해 물어봐
나의 미랜
파란 하늘
물어봐
내 가치를
Oh god
나에 대해 알아놔
나의 미랜
파란 하늘
알아봐
내 가치를
Woo
My outfit clean
마치 like NBA
Uh uh
Woo
My outfit clean
마치 like NBA
Uh uh
Yeah yeah
Oh my outfit clean yeah
My shoe is clean yeah
Street ballin’
My shot goes goal in in
Yeah we play that ball
I’ma keep it low
놀아 watch me dope
사서 flex and go
여길 take 해 또
내게 pass that ball
다 내 것
They they they gon like me like
Laker
거리를 걸을 땐 drippin'
Outfit I’ll fit in
유행을 시켜
I mean 잘 봐둬
She lovin' it
거리 위 거리 위 drippin'
내 위치 나와 여기
멋을 난 지켜
I mean 잘 봐둬
She lovin' it
Oh god
나에 대해 물어봐
나의 미랜
파란 하늘
물어봐
내 가치를
Oh god
나에 대해 알아놔
나의 미랜
파란 하늘
알아봐
내 가치를
Woo
My outfit clean
마치 like NBA
Uh uh
Woo
My outfit clean
마치 like NBA
Uh uh
Yo fla 물어보긴 뭐를 물어봐
우릴 모른다는 사실 자체가
비정상이지
가만 보면 나는 어려 돈 많아 인기
많아
친구들이 볼 때는 내가 비정상이지
Okay I'll be your 서방님
94년생 인생 습관 세금 내기
생활패턴은 낙서 내 목은 cold
항상 나빠 stay fresh stay gold
I'mma go 돈은 받고 sing a song
받고 싶겠지만 내 폰 비밀 code
Yea 내 전화는 울리겠지만은
진동 mode
Yea I drip way too hard I'm cold",화나요
3947371,"? (물음표) (Feat. 최자 Of 다이나믹듀오, Zion.T)","전화를 할까 말까 문자로 할까 
아 시간이 너무 늦었나 
그녀는 벌써 잘까 
오늘따라 밤이 너무 길어 
문자를 썼다 고쳤다 하다가 지워 
아쉬워 방금 보낸 문자가 
답장을 기다리는 
이 시간이 너무 길어 
안절부절 못하는 내 모습이 
안타까워서 약속도 없는 
밤거리로 나왔어 
뻥 터졌어 호르몬 두근거려 
사춘기 중학생처럼 오예 
내 맘에 빨간 불이 켜졌어 
널 생각하면 이성은  
꼼짝 못하고 얼어 
제대로 털렸어 나 딱 걸렸어 
나 넌 진짜 
감당하기 힘든 일을 벌렸어 
난 브레이크가 고장 난 8톤 트럭 
못 멈춰 이미 시동 걸렸어 난 
넌 웃을 때 웃을 때 콧구멍이 커져 
그건 위험해 위험해 니 앞에 서면 
괜히 수줍게 어물쩡대 
그러고 보면 내가 어떻게 해 
너는 왜 항상 무표정 
넌 대체 뭘 하는 여자길래 
도대체 뭘 먹고 자랐길래 
물음표 물음표 찍게 만들어 
니가 뭔데 내 입가에 
미소만 짓게 만들어 
Woah 말도 안돼 
제발 좀 그만해줄래
너무 귀여워 끌려 난 어지러워 끌려 
끌리는 것 이상으로 
저걸 어째 뭔데 
네 번째 손가락에 낀 반지 뭔데 
슬쩍 묻네 대답 없고 
스무고개 하자 할 수도 없고 
나만 술래 하기야 
넌 매일 도망가기만 해 
날 어쩔 셈이야 이거 
어장관리 아냐 
날 잡던지 아님 
내게 잡히던지 해줘 
뿌리치던지 내게 안기던지 해줘 
그렇게 웃지만 말고 얘기해줘 
답답한 내 맘에다 너란 창을 내줘 
넌 대체 뭘 하는 여자길래 
도대체 뭘 먹고 자랐길래 
물음표 물음표 찍게 만들어 
니가 뭔데 내 입가에 
미소만 짓게 만들어 
Woah 말도 안돼 
제발 좀 그만해줄래 
너무 귀여워 끌려 
난 어지러워 끌려 
끌리는 것 이상으로 끌려",화나요
